"term","estimate","std.error","statistic","p.value","odds_ratio","p_value","significant"
"duration_group15+ min",5.43065209946913,0.107216992553278,50.651039262928,0,228.298," 0.00e+00","✅"
"duration_group10-15 min",4.57899148243037,0.0994687105810976,46.034491205122,0,97.416," 0.00e+00","✅"
"duration_group5-10 min",3.08037855086992,0.0920150686807081,33.4768923724745,1.04566101434359e-245,21.767,"1.05e-245","✅"
"poutcomesuccess",2.37085142821864,0.0878829972730738,26.977361967433,2.72488640180465e-160,10.707,"2.72e-160","✅"
"duration_group2-5 min",1.84218976633641,0.0904366374932465,20.3699498057298,3.08994479971945e-92,6.31," 3.09e-92","✅"
"monthmar",1.81687467272604,0.122286599313823,14.8575124577912,6.21918921628622e-50,6.153," 6.22e-50","✅"
"educationilliterate",1.36130136298857,0.730838573713243,1.86265669595417,0.0625105821158433,3.901," 6.25e-02","❌"
"age_group60+",1.19759781870172,0.115990268417239,10.3249853202661,5.43271146189436e-25,3.312," 5.43e-25","✅"
"monthoct",1.06453189496306,0.116774943439463,9.11609857053729,7.78774201524247e-20,2.899," 7.79e-20","✅"
"monthdec",0.850076547771651,0.201833997196905,4.21176094997679,2.53387615760496e-05,2.34," 2.53e-05","✅"
"monthsep",0.768224585814875,0.127720618214089,6.01488308275452,1.80016578078937e-09,2.156," 1.80e-09","✅"
"jobstudent",0.617954003227962,0.111078279825357,5.56322986095516,2.6482668679738e-08,1.855," 2.65e-08","✅"
"contacttelephone",-1.0880461933714,0.0588532482373654,-18.4874450596698,2.60613095608246e-76,0.337," 2.61e-76","✅"
"monthjul",-0.973238276954586,0.0780169807129319,-12.4746980472837,1.02594372332337e-35,0.378," 1.03e-35","✅"
"monthmay",-0.842587112593286,0.0744414394786789,-11.3187912336732,1.05922322445403e-29,0.431," 1.06e-29","✅"
"monthnov",-0.776076501594326,0.0859942428622247,-9.02474951535667,1.80106931605875e-19,0.46," 1.80e-19","✅"
"monthaug",-0.655030342216122,0.0783123734119663,-8.36432754719744,6.04587459653691e-17,0.519," 6.05e-17","✅"
"age_groupUnder 30",0.362889484443164,0.0588997128350413,6.16114182864522,7.22222688376361e-10,1.437," 7.22e-10","✅"
"educationuniversity.degree",0.346537358049696,0.0883575851645365,3.92198765283576,8.78214935462908e-05,1.414," 8.78e-05","✅"
"educationunknown",0.295687875140765,0.11607530691637,2.54737965374325,0.0108535281966259,1.344," 1.09e-02","✅"
"jobblue-collar",-0.391085405675393,0.0755722746033328,-5.17498524066055,2.27928998051727e-07,0.676," 2.28e-07","✅"
"jobentrepreneur",-0.328186613425924,0.119096034334834,-2.75564686312929,0.00585762010159035,0.72," 5.86e-03","✅"
"jobservices",-0.298736723372333,0.0823834813869727,-3.62617260575701,0.000287653117179798,0.742," 2.88e-04","✅"
"educationprofessional.course",0.201720603960973,0.0975542246622586,2.06777927516054,0.0386607833817711,1.224," 3.87e-02","✅"
"jobself-employed",-0.245455652447238,0.111987198991803,-2.19181883873357,0.0283925902756263,0.782," 2.84e-02","✅"
"jobmanagement",-0.208072367960114,0.082472447072947,-2.52293190447075,0.0116380935049626,0.812," 1.16e-02","✅"
"age_group40-49",-0.189247325920679,0.0537971614461788,-3.51779389159799,0.000435150200722902,0.828," 4.35e-04","✅"
"educationbasic.6y",0.1577115769973,0.114555471751066,1.37672670354861,0.168596759491459,1.171," 1.69e-01","❌"
"poutcomenonexistent",-0.172603412341959,0.0605893242790751,-2.84874298229414,0.00438923227099321,0.841," 4.39e-03","✅"
"monthjun",0.14529107304075,0.0885226382218153,1.64128720019264,0.100737811831929,1.156," 1.01e-01","❌"
"jobhousemaid",-0.158650994882588,0.141291673858829,-1.12286159934027,0.261496278742613,0.853," 2.61e-01","❌"
"jobtechnician",-0.155769207669708,0.0676667018023788,-2.30200679980876,0.0213347887121793,0.856," 2.13e-02","✅"
"jobunemployed",0.131538882009778,0.124039823017778,1.06045686626726,0.28893680325088,1.141," 2.89e-01","❌"
"educationhigh.school",0.121081458481357,0.0882222370986646,1.37245962541104,0.169920399408274,1.129," 1.70e-01","❌"
"jobunknown",-0.0909839534058972,0.229995289643935,-0.395590507730629,0.692407140801006,0.913," 6.92e-01","❌"
"age_group50-59",0.0570544991088169,0.060737032354555,0.939369226599002,0.347541207136957,1.059," 3.48e-01","❌"
"loanyes",-0.0400413338275223,0.0551751248175376,-0.725713516008124,0.468014414213881,0.961," 4.68e-01","❌"
"housingunknown",-0.0313435538158109,0.133455837780907,-0.234860867362484,0.814316723389943,0.969," 8.14e-01","❌"
"educationbasic.9y",0.0281610998471288,0.0908601027543967,0.309939115116906,0.756607256867194,1.029," 7.57e-01","❌"
"housingyes",0.0118447901911349,0.0397208737167962,0.298200645725631,0.765550028982752,1.012," 7.66e-01","❌"
"jobretired",-0.000149012925534781,0.113974292090486,-0.00130742576068362,0.998956825468348,1," 9.99e-01","❌"
"loanunknown",NA,NA,NA,NA,NA,"       NA",NA
